City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,San Cristobal,VE,2021-11-18 17:28:45,7.7669,-72.225,80.78,42,88,3.78
213,Beyneu,KZ,2021-11-18 17:28:46,45.3167,55.2,29.57,64,7,7.45
214,Springdale,US,2021-11-18 17:25:07,36.1867,-94.1288,50.83,29,1,15.01
215,Meulaboh,ID,2021-11-18 17:28:46,4.1363,96.1285,77.14,85,97,3.13
216,Cabedelo,BR,2021-11-18 17:28:47,-6.9811,-34.8339,88.47,63,62,15.57
217,Carnarvon,AU,2021-11-18 17:28:47,-24.8667,113.6333,68.07,73,40,18.41
218,Cidreira,BR,2021-11-18 17:28:48,-30.1811,-50.2056,64.78,75,100,9.22
219,Majene,ID,2021-11-18 17:28:48,-3.5403,118.9707,78.51,87,100,3.8
220,Esperance,AU,2021-11-18 17:28:49,-33.8667,121.9,57.04,84,90,16.04
221,Erzin,TR,2021-11-18 17:28:49,36.9559,36.2,61.32,41,89,4.23
222,Isangel,VU,2021-11-18 17:28:50,-19.55,169.2667,76.64,86,5,6.64
223,Natal,BR,2021-11-18 17:28:50,-5.795,-35.2094,88.45,66,40,18.41
224,Tena,EC,2021-11-18 17:28:51,-0.9833,-77.8167,75.96,78,91,2.73
225,Warrington,GB,2021-11-18 17:28:51,53.3925,-2.5802,56.86,85,40,4.0
226,Saint-Pierre,RE,2021-11-18 17:29:52,-21.3393,55.4781,76.68,70,0,3.44
227,Poum,NC,2021-11-18 17:29:52,-20.2333,164.0167,77.0,80,83,5.75
228,Jiuquan,CN,2021-11-18 17:29:53,39.7432,98.5174,31.01,42,97,5.68
229,Nanortalik,GL,2021-11-18 17:29:53,60.1432,-45.2371,28.29,79,88,2.93
230,College,US,2021-11-18 17:29:54,64.8569,-147.8028,6.75,76,90,10.36
231,Nelson Bay,AU,2021-11-18 17:29:54,-32.7167,152.15,66.09,84,84,1.01
232,Saldanha,ZA,2021-11-18 17:29:55,-33.0117,17.9442,62.01,69,0,25.79
233,Souillac,MU,2021-11-18 17:29:55,-20.5167,57.5167,77.38,69,40,12.66
234,Dali,CN,2021-11-18 17:29:56,25.7,100.1833,48.65,81,2,5.1
235,Chaupal,IN,2021-11-18 17:29:56,30.95,77.5833,40.5,70,0,2.98
236,Galdar,ES,2021-11-18 17:29:57,28.147,-15.6502,68.5,68,96,5.35
237,Colorado Springs,US,2021-11-18 17:28:35,38.8339,-104.8214,53.56,37,40,1.01
238,Yangambi,CD,2021-11-18 17:29:57,0.8102,24.4336,72.77,92,89,2.39
239,Havre-Saint-Pierre,CA,2021-11-18 17:29:58,50.2334,-63.5986,36.19,93,90,13.8
240,Port Lincoln,AU,2021-11-18 17:29:58,-34.7333,135.8667,57.83,83,100,10.69
241,Sibu,MY,2021-11-18 17:29:59,2.3,111.8167,77.31,94,40,2.3
242,Bireun,ID,2021-11-18 17:29:59,5.203,96.7009,77.34,85,97,4.05
243,Rock Springs,US,2021-11-18 17:30:00,41.5875,-109.2029,20.64,53,1,3.44
244,Poso,ID,2021-11-18 17:30:01,-1.3959,120.7524,77.99,84,100,3.96
245,Avarua,CK,2021-11-18 17:30:02,-21.2078,-159.775,77.05,88,75,12.66
246,Orsk,RU,2021-11-18 17:30:05,51.2049,58.5668,22.1,86,75,6.71
247,Kirkuk,IQ,2021-11-18 17:30:06,35.4681,44.3922,61.16,28,2,5.73
248,Murray Bridge,AU,2021-11-18 17:30:07,-35.1167,139.2667,60.55,84,100,8.41
249,Los Llanos De Aridane,ES,2021-11-18 17:30:08,28.6585,-17.9182,65.95,74,75,4.0
250,Acapulco,MX,2021-11-18 17:30:10,16.8634,-99.8901,85.82,58,1,3.44
251,Luderitz,NA,2021-11-18 17:30:11,-26.6481,15.1594,64.56,63,0,29.3
252,Niquelandia,BR,2021-11-18 17:30:11,-14.4739,-48.4597,75.13,89,99,3.02
253,Tazovskiy,RU,2021-11-18 17:30:12,67.4667,78.7,-4.94,100,93,6.04
254,Ribeira Grande,PT,2021-11-18 17:30:13,38.5167,-28.7,68.4,73,20,18.41
255,Tiksi,RU,2021-11-18 17:30:13,71.6872,128.8694,-1.84,98,100,5.17
256,Kudeyevskiy,RU,2021-11-18 17:30:14,54.8758,56.7567,16.83,85,60,5.14
257,Itarema,BR,2021-11-18 17:30:15,-2.9248,-39.9167,87.28,62,27,19.75
258,George Town,MY,2021-11-18 17:30:15,5.4112,100.3354,76.98,94,20,1.01
259,Lashio,MM,2021-11-18 17:30:16,22.9333,97.75,61.14,99,66,0.38
260,Mehamn,NO,2021-11-18 17:30:17,71.0357,27.8492,37.58,100,90,5.75
261,Kyren,RU,2021-11-18 17:30:17,51.6828,102.1408,19.62,93,100,1.7
262,Alofi,NU,2021-11-18 17:30:17,-19.0595,-169.9187,78.69,69,86,11.5
263,Lebu,CL,2021-11-18 17:30:18,-37.6167,-73.65,59.07,73,8,19.24
264,New Norfolk,AU,2021-11-18 17:30:18,-42.7826,147.0587,50.67,81,89,2.33
265,Posse,BR,2021-11-18 17:30:19,-14.0931,-46.3694,72.81,82,77,3.58
266,Geraldton,AU,2021-11-18 17:27:49,-28.7667,114.6,66.61,77,75,16.11
267,Komsomolskiy,UZ,2021-11-18 17:30:20,40.4272,71.7189,31.42,74,5,6.91
268,Port Elizabeth,ZA,2021-11-18 17:26:59,-33.918,25.5701,62.1,67,20,10.36
269,Umm Kaddadah,SD,2021-11-18 17:31:21,13.6017,26.6876,83.28,21,70,11.92
270,Shubarshi,KZ,2021-11-18 17:31:21,48.5872,57.1869,26.74,87,100,0.72
271,Korhogo,CI,2021-11-18 17:31:22,9.45,-5.6333,83.03,34,14,3.8
272,Halifax,CA,2021-11-18 17:27:44,44.6453,-63.5724,50.05,98,90,5.99
273,Timra,SE,2021-11-18 17:31:23,62.487,17.3257,34.68,81,0,2.3
