City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Carlisle,US,40.2015,-77.1889,51.24,67,100,3.51,overcast clouds
317,Bokovskaya,RU,49.229,41.8306,44.4,80,100,18.63,overcast clouds
318,Luwuk,ID,-0.9516,122.7875,77.49,84,89,2.68,overcast clouds
319,Kaduqli,SD,11.0167,29.7167,74.97,21,69,9.31,broken clouds
320,Kunya,NG,12.2233,8.5325,78.67,19,2,4.76,clear sky
321,Yinchuan,CN,38.4681,106.2731,23.59,17,0,4.83,clear sky
322,Aneho,TG,6.2333,1.6,82.54,80,14,11.34,few clouds
323,Pandan,PH,14.0453,124.1694,79.52,88,15,3.83,few clouds
324,Port Moresby,PG,-9.4431,147.1797,77.07,89,99,2.86,overcast clouds
325,Provideniya,RU,64.3833,-173.3,3.61,85,18,7.87,few clouds
326,Palmer,US,42.1584,-72.3287,54.99,46,90,1.99,overcast clouds
327,Te Anau,NZ,-45.4167,167.7167,49.48,97,100,2.73,overcast clouds
328,Abha,SA,18.2164,42.5053,55.65,58,0,0.0,clear sky
329,Mapiripan,CO,2.8892,-72.1256,86.0,58,53,4.52,broken clouds
330,Tuatapere,NZ,-46.1333,167.6833,50.54,96,100,1.72,overcast clouds
331,Kaeo,NZ,-35.1,173.7833,68.32,94,100,4.21,moderate rain
332,Srednekolymsk,RU,67.45,153.6833,-17.81,100,99,0.83,overcast clouds
333,Kudat,MY,6.8837,116.8477,78.8,86,58,5.68,broken clouds
334,Mitsamiouli,KM,-11.3847,43.2844,79.56,75,7,6.73,clear sky
335,Kutum,SD,14.2,24.6667,66.88,23,34,12.12,scattered clouds
336,Aksarka,RU,66.5606,67.7975,14.52,96,100,8.9,light snow
337,Kuryk,KZ,43.2,51.65,47.62,76,0,7.87,clear sky
338,Taoudenni,ML,22.6783,-3.9836,82.51,25,97,5.88,overcast clouds
339,Port Blair,IN,11.6667,92.75,81.01,83,18,7.34,few clouds
340,Muana,BR,-1.5283,-49.2167,82.74,79,27,4.29,scattered clouds
341,Novoagansk,RU,61.9449,76.6625,16.77,88,100,12.26,overcast clouds
