City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
427,Boa Vista,BR,82.38,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
428,Kinwat,IN,74.64,scattered clouds,19.6333,78.2,Golewar Santosh Naganna
429,Guerrero Negro,MX,74.59,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
431,Roebourne,AU,75.34,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
433,Notse,TG,80.46,scattered clouds,6.95,1.1667,Le Berceau
434,Mahibadhoo,MV,81.73,overcast clouds,3.7833,72.9667,Omadhoo Inn
438,Teknaf,BD,71.28,clear sky,20.8624,92.3058,Forestry Guesthouse
443,Puerto Leguizamo,CO,77.77,overcast clouds,-0.1934,-74.7819,la casona de juancho
444,Vanimo,PG,77.27,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
446,Cockburn Town,TC,81.34,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
447,Rocha,UY,81.61,broken clouds,-34.4833,-54.3333,Hotel Arrarte
448,Chitrakonda,IN,70.43,clear sky,18.1167,82.0833,Sri venkateswara swamy temple
453,Cairns,AU,71.06,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
454,Rangoon,MM,78.76,few clouds,16.8053,96.1561,Clover Hotel
457,Kontagora,NG,79.18,clear sky,10.3999,5.4695,Queens Guest Inn
460,Tual,ID,83.48,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
465,Catabangan,PH,76.62,scattered clouds,13.8777,122.6615,Villa Concepcion Resort
466,Road Town,VG,84.29,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
472,Dingle,PH,76.32,few clouds,10.9995,122.6711,SEGAYA PROPERTY
479,Tabuk,PH,73.42,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
480,Daru,PG,80.37,broken clouds,-9.0763,143.2092,Daru Lodge
493,Freetown,SL,80.56,clear sky,8.484,-13.2299,The Country Lodge Hotel
495,Innisfail,AU,70.92,scattered clouds,-17.5333,146.0333,Moondarra Motel
497,San Quintin,MX,70.77,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
499,Boyolangu,ID,76.62,overcast clouds,-8.1181,111.8935,Yos ega cv
502,Los Llanos De Aridane,ES,71.35,volcanic ash,28.6585,-17.9182,Valle Aridane
503,Tres Arroyos,AR,82.74,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
504,Manaus,BR,84.7,few clouds,-3.1019,-60.025,Manaus Hotéis Millennium
506,Buchanan,LR,78.76,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
507,Mogadishu,SO,79.39,few clouds,2.0371,45.3438,Hotel Juba
511,Poum,NC,76.35,clear sky,-20.2333,164.0167,Gîte kajeon
517,Narasannapeta,IN,76.51,few clouds,18.4167,84.05,G.lingaraju home
519,Inhambane,MZ,73.22,scattered clouds,-23.865,35.3833,Oceano
523,Labuhan,ID,81.3,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
524,Gurupa,BR,81.41,overcast clouds,-1.405,-51.64,Hotel Vitória
526,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
531,Sur,OM,75.47,clear sky,22.5667,59.5289,Sur Plaza Hotel
533,Brufut,GM,78.89,clear sky,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
534,Davila,PH,79.52,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
535,Cururupu,BR,83.08,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
537,Port Keats,AU,83.89,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
543,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
547,Augusto Correa,BR,83.48,overcast clouds,-1.0217,-46.635,Fazenda Bacuri
550,Paraiso,CR,77.86,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
551,Amalapuram,IN,76.77,clear sky,16.5833,82.0167,swayamprabha service apartments
554,Rosita,NI,81.01,scattered clouds,13.9268,-84.4032,Hospedaje Zeledón
557,Lake City,US,78.01,clear sky,30.1897,-82.6393,Ramada Limited Lake City
558,Garowe,SO,70.9,few clouds,8.4054,48.4845,Curubo Hotel
560,Huanuco,PE,70.05,light rain,-9.9329,-76.2415,Sweet Dreams
566,Natal,BR,83.05,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
571,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
573,Sao Miguel Do Araguaia,BR,83.61,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
583,Ahuimanu,US,83.91,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
589,Nacala,MZ,77.0,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
